Resource Name,Service,Account,Region,Last Modified,instanceId,vpcId
pcs-ec2-demo-jenkins-dev,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-0bc8a7d402a543da6,vpc-0ec0bf73
pcs-ec2-tbeck,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-07bd7a19676e36a5f,vpc-0e8cfa5535af9bb6c
i-09c1dddd08aaf64da,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-09c1dddd08aaf64da,vpc-04f2fe2f4bb60af36
jjc-opscenter,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-0f5fcff320c835db6,vpc-0a4b9556f4d87e3f4
pcs-jneytchev-nat,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-078d16a32ec0efd43,vpc-0b45feeda4f852c62
i-07d931d45a01a8edd,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-07d931d45a01a8edd,vpc-0ec0bf73
Jabar Jumper,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-065cc5abe8da0976e,vpc-0ec0bf73
jjc-datastax-db-02,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-27 11:24:08,i-0093f70fd93a62840,vpc-0ec0bf73
pcs_sg_irgarcia_linux2,Amazon EC2,AWS Eggs,AWS Frankfurt,2022-05-27 11:22:46,i-06216ab1de2026aec,vpc-0f7783f55f3c4456d
pcs_ec2_irgarcia_redhat,Amazon EC2,AWS Eggs,AWS Frankfurt,2022-05-27 11:22:46,i-026807e66cafdf589,vpc-0f7783f55f3c4456d
